Run Name,Motor Stop Time (s),OOD Detector Start Time (s),OOD Detector End Time (s),Image Capture Time (s),OOD Score
ET1,0.0,0.0,1614236155.598460,1614236154.4765775,0.05532640218734741
ET1,0.0,1614236155.598460,1614236155.936906,1614236155.5770679,0.054644107818603516
ET1,0.0,1614236155.936906,1614236156.290280,1614236155.910081,0.061488986015319824
ET1,0.0,1614236156.290280,1614236156.606882,1614236156.2772362,0.08087736368179321
ET1,0.0,1614236156.606882,1614236156.934746,1614236156.6089175,0.08738243579864502
ET1,0.0,1614236156.934746,1614236157.269194,1614236156.9094625,0.08887588977813721
ET1,0.0,1614236157.269194,1614236157.729022,1614236157.244275,0.07117176055908203
ET1,0.0,1614236157.729022,1614236158.493315,1614236157.7426946,0.07225269079208374
ET1,1614236159.240737,1614236158.493315,1614236159.219398,1614236158.4742966,0.11050927639007568
ET2,0.0,0.0,1614236321.845508,1614236320.956021,0.0578463077545166
ET2,0.0,1614236321.845508,1614236322.809727,1614236321.823752,0.06012308597564697
ET2,0.0,1614236322.809727,1614236323.666794,1614236322.7880874,0.05610305070877075
ET2,0.0,1614236323.666794,1614236324.278873,1614236323.6868155,0.09057164192199707
ET2,1614236324.683685,1614236324.278873,1614236324.671688,1614236324.2554865,0.12734252214431763
ET3,0.0,0.0,1614236887.020085,1614236886.058528,0.05441737174987793
ET3,0.0,1614236887.020085,1614236887.946794,1614236886.9911594,0.05289268493652344
ET3,0.0,1614236887.946794,1614236888.347977,1614236887.9244,0.06797170639038086
ET3,0.0,1614236888.347977,1614236888.644805,1614236888.3236961,0.050012290477752686
ET3,0.0,1614236888.644805,1614236889.158689,1614236888.6268318,0.07128852605819702
ET3,0.0,1614236889.158689,1614236889.973753,1614236889.1576364,0.07420694828033447
ET3,0.0,1614236889.973753,1614236890.413919,1614236889.9580882,0.09932738542556763
ET3,1614236890.762094,1614236890.413919,1614236890.747240,1614236890.3894334,0.12435203790664673
ET4,0.0,0.0,1614236966.413537,1614236965.3211887,0.04095667600631714
ET4,0.0,1614236966.413537,1614236967.673964,1614236966.4172385,0.041012704372406006
ET4,0.0,1614236967.673964,1614236968.417279,1614236967.6887677,0.05331605672836304
ET4,0.0,1614236968.417279,1614236968.814394,1614236968.382511,0.0912514328956604
ET4,0.0,1614236968.814394,1614236969.204642,1614236968.817361,0.08735013008117676
ET4,0.0,1614236969.204642,1614236969.570099,1614236969.183758,0.08518999814987183
ET4,0.0,1614236969.570099,1614236969.914842,1614236969.5495384,0.0861213207244873
ET4,1614236970.303045,1614236969.914842,1614236970.284307,1614236969.9143763,0.12056058645248413
ET5,0.0,0.0,1614237041.002051,1614237040.478575,0.04570949077606201
ET5,0.0,1614237041.002051,1614237041.486483,1614237040.9790938,0.04424184560775757
ET5,0.0,1614237041.486483,1614237041.833799,1614237041.478675,0.053558945655822754
ET5,0.0,1614237041.833799,1614237042.140517,1614237041.8109205,0.06260639429092407
ET5,0.0,1614237042.140517,1614237042.701775,1614237042.1140006,0.06539982557296753
ET5,0.0,1614237042.701775,1614237043.842603,1614237042.7104502,0.07074558734893799
ET5,1614237044.608558,1614237043.842603,1614237044.590987,1614237043.8424585,0.12837833166122437
ET6,0.0,0.0,1614237125.052159,1614237124.236331,0.06239593029022217
ET6,0.0,1614237125.052159,1614237125.936404,1614237125.0343585,0.06146365404129028
ET6,0.0,1614237125.936404,1614237126.455072,1614237125.9391744,0.041890501976013184
ET6,0.0,1614237126.455072,1614237126.789043,1614237126.4346292,0.06185758113861084
ET6,0.0,1614237126.789043,1614237127.122393,1614237126.8003592,0.08632749319076538
ET6,0.0,1614237127.122393,1614237127.445527,1614237127.101291,0.08900851011276245
ET6,0.0,1614237127.445527,1614237127.776812,1614237127.4339907,0.07955175638198853
ET6,0.0,1614237127.776812,1614237128.119425,1614237127.7670429,0.07982778549194336
ET6,0.0,1614237128.119425,1614237129.301695,1614237128.1000752,0.09937077760696411
ET6,1614237130.697396,1614237129.301695,1614237130.626238,1614237129.2980738,0.3295171856880188
ET7,0.0,0.0,1614237270.870911,1614237269.526539,0.0497625470161438
ET7,0.0,1614237270.870911,1614237271.741386,1614237270.858355,0.04936915636062622
ET7,0.0,1614237271.741386,1614237272.509294,1614237271.7238343,0.049347758293151855
ET7,0.0,1614237272.509294,1614237272.847712,1614237272.4910707,0.05534172058105469
ET7,0.0,1614237272.847712,1614237273.218325,1614237272.825751,0.08158206939697266
